solar 1.367000048048794e+03
albedo 3.499999940395355e-01
planet 2.360000071348623e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.563459258777771e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
  945.788,   61.20,   61.20,      -2514.6,      -3577.2,       5189.7, 
  1001.42,   64.80,   64.80,      -2224.4,      -3877.9,       5105.5, 
  1057.06,   68.40,   68.40,      -1925.4,      -4163.3,       5001.2, 
  1112.69,   72.00,   72.00,      -1618.8,      -4432.3,       4877.1, 
  1168.33,   75.60,   75.60,      -1305.8,      -4683.8,       4733.8, 
  1223.96,   79.20,   79.20,      -987.68,      -4916.8,       4571.8, 
   1279.6,   82.80,   82.80,      -665.65,      -5130.4,       4391.7, 
  1335.23,   86.40,   86.40,      -340.99,      -5323.8,       4194.4, 
  1390.86,   90.00,   90.00,      -14.995,      -5496.1,       3980.4, 
   1446.5,   93.60,   93.60,       311.06,      -5646.8,       3750.8, 
  1502.13,   97.20,   97.20,        635.9,      -5775.2,       3506.4, 
  1557.77,  100.80,  100.80,       958.22,      -5880.8,       3248.1, 
   1613.4,  104.40,  104.40,       1276.8,      -5963.1,         2977, 
  1669.04,  108.00,  108.00,       1590.3,        -6022,       2694.2, 
  1724.67,  111.60,  111.60,       1897.5,      -6057.1,       2400.7, 
  1780.31,  115.20,  115.20,       2197.2,      -6068.2,       2097.7, 
  1835.94,  118.80,  118.80,       2488.3,      -6055.5,       1786.5, 
  1891.58,  122.40,  122.40,       2769.5,      -6018.8,       1468.2, 
  1921.94,  124.36,  124.36,       2918.5,      -5988.7,         1292, 
  1947.21,  126.00,  126.00,       3039.8,      -5958.3,       1144.2, 
  2002.85,  129.60,  129.60,       3298.2,      -5874.4,       815.58, 
  2058.48,  133.20,  133.20,       3543.5,      -5767.3,       483.77, 
  2114.11,  136.80,  136.80,       3774.8,      -5637.4,       150.05, 
  2169.75,  140.40,  140.40,       3991.2,      -5485.3,      -184.25, 
  2225.38,  144.00,  144.00,       4191.9,      -5311.5,      -517.84, 
  2281.02,  147.60,  147.60,         4376,      -5116.7,      -849.37, 
  2336.65,  151.20,  151.20,       4542.9,      -4901.8,      -1177.6, 
  2392.29,  154.80,  154.80,       4691.8,      -4667.5,      -1501.1, 
  2447.92,  158.40,  158.40,       4822.2,      -4414.8,      -1818.7, 
  2503.56,  162.00,  162.00,       4933.6,      -4144.7,      -2129.1, 
  2559.19,  165.60,  165.60,       5025.5,      -3858.2,      -2431.2, 
  2614.83,  169.20,  169.20,       5097.6,      -3556.5,      -2723.6, 
  2670.46,  172.80,  172.80,       5149.5,      -3240.7,      -3005.3, 
   2726.1,  176.40,  176.40,       5181.1,      -2912.2,      -3275.1, 
  2781.73,  180.00,  180.00,       5192.3,      -2572.2,        -3532, 
  2837.36,  183.60,  183.60,         5183,        -2222,        -3775, 
     2893,  187.20,  187.20,       5153.3,        -1863,      -4003.1, 
  2948.63,  190.80,  190.80,       5103.2,      -1496.7,      -4215.3, 
  3004.27,  194.40,  194.40,       5032.9,      -1124.5,        -4411, 
   3059.9,  198.00,  198.00,       4942.8,      -747.87,      -4589.2, 
  3115.54,  201.60,  201.60,       4833.2,      -368.27,      -4749.3, 
  3171.17,  205.20,  205.20,       4704.6,        12.78,      -4890.7, 
  3226.81,  208.80,  208.80,       4557.3,       393.78,      -5012.7, 
  3282.44,  212.40,  212.40,       4392.1,       773.23,        -5115, 
  3338.08,  216.00,  216.00,       4209.5,       1149.6,      -5197.1, 
  3393.71,  219.60,  219.60,       4010.3,       1521.5,      -5258.7, 
  3449.34,  223.20,  223.20,       3795.3,       1887.3,      -5299.6, 
  3504.98,  226.80,  226.80,       3565.3,       2245.7,      -5319.5, 
  3560.61,  230.40,  230.40,       3321.3,       2595.3,      -5318.4, 
  3616.25,  234.00,  234.00,       3064.1,       2934.6,      -5296.3, 
  3671.88,  237.60,  237.60,       2794.9,       3262.3,      -5253.4, 
  3727.52,  241.20,  241.20,       2514.6,       3577.2,      -5189.7, 
  3783.15,  244.80,  244.80,       2224.4,       3877.9,      -5105.5, 
  3800.95,  245.95,  245.95,       2129.6,       3970.9,      -5074.3, 
  3838.79,  248.40,  248.40,       1925.4,       4163.3,      -5001.2, 
  3894.42,  252.00,  252.00,       1618.8,       4432.3,      -4877.1, 
  3950.06,  255.60,  255.60,       1305.8,       4683.8,      -4733.8, 
  4005.69,  259.20,  259.20,       987.68,       4916.8,      -4571.8, 
  4061.33,  262.80,  262.80,       665.65,       5130.4,      -4391.7, 
  4116.96,  266.40,  266.40,       340.99,       5323.8,      -4194.4, 
  4172.59,  270.00,  270.00,       14.995,       5496.1,      -3980.4, 
  4228.23,  273.60,  273.60,      -311.06,       5646.8,      -3750.8, 
  4283.86,  277.20,  277.20,       -635.9,       5775.2,      -3506.4, 
   4339.5,  280.80,  280.80,      -958.22,       5880.8,      -3248.1, 
