solar 1.367000048048794e+03
albedo 3.499999940395355e-01
planet 2.360000071348623e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.563459258777771e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
  1780.31,  115.20,  115.20,      -2889.4,       6140.3,            0, 
  1835.94,  118.80,  118.80,      -3269.2,       5946.7,            0, 
  1891.58,  122.40,  122.40,      -3636.2,       5729.7,            0, 
  1947.21,  126.00,  126.00,      -3988.8,       5490.1,            0, 
  2002.85,  129.60,  129.60,      -4325.6,       5228.8,            0, 
  2058.48,  133.20,  133.20,      -4645.4,       4946.9,            0, 
  2114.11,  136.80,  136.80,      -4946.9,       4645.4,            0, 
  2169.75,  140.40,  140.40,      -5228.8,       4325.6,            0, 
  2225.38,  144.00,  144.00,      -5490.1,       3988.8,            0, 
  2281.02,  147.60,  147.60,      -5729.7,       3636.2,            0, 
  2336.65,  151.20,  151.20,      -5946.7,       3269.2,            0, 
  2392.29,  154.80,  154.80,      -6140.3,       2889.4,            0, 
  2447.92,  158.40,  158.40,      -6309.6,       2498.1,            0, 
  2503.56,  162.00,  162.00,        -6454,         2097,            0, 
  2559.19,  165.60,  165.60,      -6572.9,       1687.6,            0, 
  2614.83,  169.20,  169.20,      -6665.9,       1271.6,            0, 
  2670.46,  172.80,  172.80,      -6732.6,       850.53,            0, 
   2726.1,  176.40,  176.40,      -6772.7,       426.11,            0, 
  2781.73,  180.00,  180.00,      -6786.1,   1.0835e-09,            0, 
  2837.36,  183.60,  183.60,      -6772.7,      -426.11,            0, 
     2893,  187.20,  187.20,      -6732.6,      -850.53,            0, 
  2948.63,  190.80,  190.80,      -6665.9,      -1271.6,            0, 
  3004.27,  194.40,  194.40,      -6572.9,      -1687.6,            0, 
   3059.9,  198.00,  198.00,        -6454,        -2097,            0, 
  3115.54,  201.60,  201.60,      -6309.6,      -2498.1,            0, 
  3171.17,  205.20,  205.20,      -6140.3,      -2889.4,            0, 
  3226.81,  208.80,  208.80,      -5946.7,      -3269.2,            0, 
  3282.44,  212.40,  212.40,      -5729.7,      -3636.2,            0, 
  3338.08,  216.00,  216.00,      -5490.1,      -3988.8,            0, 
  3393.71,  219.60,  219.60,      -5228.8,      -4325.6,            0, 
  3449.34,  223.20,  223.20,      -4946.9,      -4645.4,            0, 
  3504.98,  226.80,  226.80,      -4645.4,      -4946.9,            0, 
  3560.61,  230.40,  230.40,      -4325.6,      -5228.8,            0, 
  3616.25,  234.00,  234.00,      -3988.8,      -5490.1,            0, 
  3671.88,  237.60,  237.60,      -3636.2,      -5729.7,            0, 
  3727.52,  241.20,  241.20,      -3269.2,      -5946.7,            0, 
  3783.15,  244.80,  244.80,      -2889.4,      -6140.3,            0, 
  3838.79,  248.40,  248.40,      -2498.1,      -6309.6,            0, 
  3864.01,  250.03,  250.03,      -2317.4,      -6378.2,            0, 
  3894.42,  252.00,  252.00,        -2097,        -6454,            0, 
  3950.06,  255.60,  255.60,      -1687.6,      -6572.9,            0, 
